model,date,mean_alpha,mean_abs_alpha,std_alpha,frac_sig_5pct,mean_t_alpha,se_mean_alpha,ci_low,ci_high
Carhart,1938-04-01,-0.0003227364045692386,0.003255601104825425,0.005564567345477809,0.04,0.03501473924256095,0.0011129134690955618,-0.0025040468039965393,0.0018585739948580623
Carhart,1938-05-01,-0.00044069380294107895,0.0033350866235669794,0.005658501017623533,0.08,0.03824649193778075,0.0011317002035247064,-0.0026588262018495037,0.001777438595967346
Carhart,1938-06-01,-0.000587873731679888,0.003377411545731318,0.00564253551621705,0.08,0.041561984939271504,0.0011285071032434099,-0.0027997476540369713,0.001624000190677195
Carhart,1938-07-01,-0.0005643346353467346,0.0036676411836701283,0.005946323671335376,0.08,0.09214389590411563,0.0011892647342670753,-0.002895293514510202,0.001766624243816733
Carhart,1938-08-01,-0.0007937337384980726,0.0037626630397767273,0.006336910533184763,0.12,0.01558665329381836,0.0012673821066369526,-0.0032778026675064995,0.0016903351905103543
Carhart,1938-09-01,-0.0009360386500217985,0.0038399734328791045,0.0062877184234692305,0.12,-0.01913475606945466,0.0012575436846938462,-0.003400824272021737,0.0015287469719781398
Carhart,1938-10-01,-0.001044192425156381,0.0038297579080060766,0.006515005111557933,0.08,0.01963077094759818,0.0013030010223115866,-0.0035980744288870905,0.0015096895785743287
Carhart,1938-11-01,-0.00102235006229897,0.003717346520100701,0.006481831465752737,0.12,0.02794547448459487,0.0012963662931505474,-0.003563227996874043,0.0015185278722761027
Carhart,1938-12-01,-0.0008178241421210291,0.0033894960572434653,0.006094388939217733,0.08,0.021639725493610838,0.0012188777878435466,-0.0032068246062943806,0.0015711763220523222
Carhart,1939-01-01,-0.0012496412730159576,0.0035304534920722695,0.006028433593597605,0.08,-0.06703823468496159,0.001205686718719521,-0.003612787241706219,0.0011135046956743037
Carhart,1939-02-01,-0.001295978423457174,0.0034395035871490347,0.0061653044580497,0.04,-0.07301059896117597,0.00123306089160994,-0.0037127777710126565,0.0011208209240983085
Carhart,1939-03-01,-0.0015205914387877596,0.003759855750733261,0.006302505738525012,0.08,-0.1277047400658518,0.0012605011477050023,-0.003991173688289564,0.0009499908107140449
Carhart,1939-04-01,-0.0016186488515569772,0.0035812032346188138,0.0062073464692980794,0.04,-0.15593095290097345,0.001241469293859616,-0.004051928667521824,0.0008146309644078702
Carhart,1939-05-01,-0.0015507056706724942,0.00364463154123192,0.006474147822642565,0.04,-0.11794205139945642,0.0012948295645285129,-0.004088571617148379,0.0009871602758033911
Carhart,1939-06-01,-0.0016622923181089583,0.0035902695787498455,0.006379738300314651,0.04,-0.16288687831393986,0.0012759476600629302,-0.004163149731832302,0.000838565095614385
Carhart,1939-07-01,-0.0014710886880342777,0.0035338420563731958,0.006086799596479229,0.04,-0.09693654398357238,0.001217359919295846,-0.0038571141298541357,0.0009149367537855803
Carhart,1939-08-01,-0.0016108741474969532,0.003625156143136299,0.006370261647402442,0.04,-0.13045440946395317,0.0012740523294804884,-0.00410801671327871,0.0008862684182848041
Carhart,1939-09-01,-0.0013484530978409373,0.0035440944801542677,0.006492111446955282,0.08,-0.10161043809415568,0.0012984222893910563,-0.0038933607850474075,0.0011964545893655332
Carhart,1939-10-01,-0.0013550143058726003,0.0036131659492569658,0.00663803591768914,0.04,-0.07927105079314609,0.0013276071835378281,-0.003957124385606744,0.001247095773861543
Carhart,1939-11-01,-0.0014243743495181654,0.0033169992910116607,0.0063436775783461226,0.04,-0.11181299962999106,0.0012687355156692246,-0.003911095960229845,0.0010623472611935145
Carhart,1939-12-01,-0.0013725787684433714,0.003342854120627628,0.006390381793026481,0.04,-0.12571515943833103,0.0012780763586052962,-0.003877608431309752,0.001132450894423009
